Timestamp,Theta1,Theta2,Theta3,Kappa,Phi,X,Y,Z
1763669198.6437051,10,0,0,2.547325,1.471366,0.002452,0.024578,0.137051
1763669198.7472415,10,0,0,2.810983,1.497255,0.001998,0.02712,0.136414
1763669199.0723107,20,0,0,2.953391,1.515708,0.001571,0.02849,0.136045
1763669199.3143077,30,0,0,2.916267,1.514127,0.001596,0.028139,0.136143
1763669199.543663,30,0,0,2.880596,1.508656,0.001729,0.027796,0.136236
1763669199.7796593,40,0,0,2.536792,1.455013,0.002842,0.024436,0.137075
1763669200.0226057,50,0,0,2.691178,1.469018,0.002648,0.025928,0.136711
1763669200.2554786,50,0,0,2.335767,1.378305,0.00434,0.022268,0.137518
1763669200.5646343,60,0,0,2.562565,1.419039,0.003756,0.024559,0.137016
1763669200.8072762,60,0,0,1.961351,1.247262,0.006073,0.01811,0.138247
1763669201.0370812,70,0,0,1.576317,0.926517,0.009241,0.012301,0.138866
1763669201.2716618,80,0,0,1.834601,1.206185,0.006376,0.016705,0.138466
1763669201.5859363,80,0,0,1.342033,0.555244,0.011143,0.006913,0.139178
1763669201.835523,90,0,0,1.55144,-0.139616,0.014997,-0.002108,0.138902
1763669202.0715177,100,0,0,1.43761,0.056227,0.014019,0.000789,0.139057
1763669202.3146574,100,0,0,1.913238,-0.363293,0.017421,-0.006623,0.138332
1763669202.5598428,110,0,0,2.262819,-0.484262,0.019462,-0.010238,0.13767
1763669202.7997968,110,0,0,2.42453,-0.548704,0.020078,-0.012274,0.137327
1763669203.03762,120,0,0,3.356384,-0.713235,0.024421,-0.021128,0.134905
1763669203.3568528,130,0,0,2.596546,-0.569563,0.021194,-0.013572,0.136937
1763669203.6010158,130,0,0,3.860321,-0.760357,0.026751,-0.025444,0.133284
1763669203.850331,140,0,0,4.829006,-0.822546,0.03099,-0.033382,0.129576
1763669204.0929272,150,0,0,4.523718,-0.807285,0.029643,-0.03097,0.130827
1763669204.349597,150,0,0,5.389946,-0.84694,0.033354,-0.037734,0.127087
1763669204.5861623,160,0,0,5.801333,-0.85626,0.035251,-0.040637,0.125108
1763669204.8363523,160,0,0,6.10769,-0.864341,0.036544,-0.042823,0.123553
1763669205.0799146,170,0,0,7.268177,-0.890323,0.041078,-0.050749,0.117061
1763669205.3242466,0,0,0,7.634317,-0.914141,0.041488,-0.053827,0.114827
1763669205.5725837,0,0,0,2.130102,1.325257,0.005037,0.020099,0.137934
1763669205.8229046,0,0,0,2.391984,1.428435,0.003295,0.022988,0.137398
1763669206.072222,0,10,0,2.404085,1.396565,0.004046,0.022985,0.137372
1763669206.3179188,0,10,0,2.213899,1.455132,0.002484,0.021379,0.137769
1763669206.566548,0,20,0,2.157984,1.481161,0.001879,0.020904,0.13788
1763669206.892048,0,20,0,2.269833,1.465201,0.002325,0.021935,0.137656
1763669207.142501,0,30,0,2.361053,1.441992,0.002945,0.022739,0.137464
1763669207.3852117,0,40,0,2.105778,1.506436,0.001318,0.020445,0.137981
1763669207.6364586,0,40,0,2.601801,1.400933,0.004263,0.024854,0.136925
1763669207.877804,0,50,0,3.223094,1.310315,0.007998,0.030006,0.135297
1763669208.128156,0,60,0,2.863998,1.347934,0.006121,0.027008,0.136279
1763669208.378489,0,60,0,3.668434,1.27084,0.010391,0.033597,0.133926
